context,question,answer,no_of_hops
"[['Operation Lighthouse (1937)', ['Operation Lighthouse was the name given to the failed experimental launch of four Aggregate 3 liquid-fuel rockets by Wernher von Braun and Walter Dornberger on the German island of Greifswalder Oie in December 1937.']], ['Walter Dornberger', ['Major-General Dr. Walter Robert Dornberger (6 September 1895 – 27 June 1980) was a German Army artillery officer whose career spanned World War I and World War II.', "" He was a leader of Nazi Germany's V-2 rocket program and other projects at the Peenemünde Army Research Center.""]]]",What is the result of substracting 3 from the reverse of the year of birth of the man who conducted the experiment Operation light house with Wernher von Braun?,5978,2
"[['Olivia de Havilland', ['Dame Olivia Mary de Havilland, {\'1\': "", \'2\': "", \'3\': "", \'4\': ""} ( ; born July 1, 1916) is a retired American actress.', ' Her career spanned from 1935 to 1988.', ' She appeared in 49 feature films, and was one of the leading movie stars during the golden age of Classical Hollywood.', ' She is best known for her early screen performances in ""The Adventures of Robin Hood"" (1938) and ""Gone with the Wind"" (1939), and her later award-winning performances in ""To Each His Own"" (1946), ""The Snake Pit"" (1948), and ""The Heiress"" (1949).']], ['Lady in a Cage', ['Lady in a Cage is a 1964 American psychological thriller film directed by Walter Grauman, written and produced by Luther Davis, and released by Paramount Pictures.', ' It stars Olivia de Havilland and features James Caan in his first substantial film role.']]]","What is the result of substracting 8 from the reverse of the birth year of The star of ""Lady in a Cage""?",6183,2
"[['Jack (2015 film)', ['Jack is a 2015 Austrian thriller film about serial killer Jack Unterweger, directed by Elisabeth Scharang.', ' It was screened in the Contemporary World Cinema section of the 2015 Toronto International Film Festival.']], ['Jack Unterweger', ['Johann ""Jack"" Unterweger (16 August 195029 June 1994) was an Austrian serial killer who murdered prostitutes in several countries.', ' First convicted of a 1974 murder, he was released in 1990 as an example of rehabilitation.', ' He became a journalist and minor celebrity, but within months started killing again.', ' He committed suicide following a conviction for several murders.', ' Austrian psychiatrist Dr. Reinhard Haller diagnosed him with narcissistic personality disorder in 1994.']]]",What is the result of substracting 4 from the reverse of the death of the serial killer in The 2015 Austrian thriller film Jack?,4987,2
"[['Anneli Cahn Lax', [""Anneli Cahn Lax (23 February 1922, Katowice – 24 September 1999, New York City) was an American mathematician, who was known for being an editor of the Mathematics Association of America's New Mathematical Library Series, and for her work in reforming mathematics education with the inclusion of language skills."", "" Anneli Lax received a bachelor's degree in 1942 from Adelphi University and her doctorate in 1956."", ' She taught at New York University as a mathematics professor.', ' She was married to the mathematician, Peter Lax.']], ['Peter Lax', ['Peter David Lax (born 1 May 1926) is a Hungarian-born American mathematician working in the areas of pure and applied mathematics.', ' He has made important contributions to integrable systems, fluid dynamics and shock waves, solitonic physics, hyperbolic conservation laws, and mathematical and scientific computing, among other fields.', ' Lax is listed as an ISI highly cited researcher.']]]",What is the difference between the birth year of the mathematician husband of Anneli Cahn Lax  and the year 2024?,98,1
"[[""Charlotte's Shorts"", [""Charlotte's Shorts is a 90 minute live performance of Charlotte Dean's short stories."", ' The show has traditionally been cast with current and past Groundlings, such as Tim Bagley, Jim Rash, Jillian Bell, Jordan Black, Gary Anthony Williams, Jonathan Stark, Michael Hitchcock, Andrew Friedman, Daniele Gaither, Mindy Sterling, and Laraine Newman.', ' In 2014, ""Charlotte\'s Shorts"" was performed at various theaters in Los Angeles, including two shows at The Groundlings Theater.', ' ""Charlotte\'s Shorts"" is prominently featured in SF Sketchfest and The Hollywood Fringe Festival.']], ['Gary Anthony Williams', ['Gary Anthony Williams (born March 14, 1966) is an American actor and comedian who provided the voice of Uncle Ruckus on ""The Boondocks"", Yancy Westridge in the video game ""Alpha Protocol"", and Horace Warfield in """".', ' He appeared on the television series ""Weeds"", ""Boston Legal"", ""Blue Collar TV"", and as ""Abe"" Kenarban in ""Malcolm in the Middle"".', ' Williams co-founded and is Artistic Director of the L.A. Comedy Shorts film festival in Hollywood, California.', ' He also starred alongside Cedric the Entertainer on the hit TV Land sitcom ""The Soul Man"".', ' Williams is currently a regular on ""Whose Line is it Anyway?', '"".']]]",What is the difference between the year of birth of the actor who appeared on Charlotte's Shorts and Weeds and the year 2024?,58,1
"[['Three Men on a Horse', ['Three Men on a Horse is a play by George Abbott and John Cecil Holm.', ' The comedy focuses on a man who discovers he has a talent for choosing the winning horse in a race as long as he never places a bet himself.']], ['George Abbott', ['George Francis Abbott (June 25, 1887 – January 31, 1995) was an American theater producer and director, playwright, screenwriter, and film director and producer whose career spanned nine decades.']]]",What is the difference between the year of birth of the playwriter of Three Men on a Horse and the year 2024?,137,1
"[['Ann Wigmore', ['Ann Wigmore (1909–1994) was a Lithuanian–American ""holistic health"" practitioner and raw food advocate.', ' Wigmore wrote several books on her theories and lectured widely to promote her practices.']], ['Rejuvelac', ['Rejuvelac is kind of grain water invented and promoted by Ann Wigmore.']]]","What is the sum of the digits of the year the year of birth of a ""holistic health"" practitioner who invented an promoted Rejuvelac?",19,1
"[['Moby-Dick', ['Moby-Dick; or, The Whale is a novel by American writer Herman Melville, published in 1851 during the period of the American Renaissance.', ' Sailor Ishmael tells the story of the obsessive quest of Ahab, captain of the whaler ""Pequod"", for revenge on Moby Dick, the white whale that on the previous whaling voyage bit off Ahab\'s leg at the knee.', "" The novel was a commercial failure and out of print at the time of the author's death in 1891, but during the 20th century, its reputation as a Great American Novel was established."", ' William Faulkner confessed he wished he had written it himself, and D. H. Lawrence called it ""one of the strangest and most wonderful books in the world"", and ""the greatest book of the sea ever written"".', ' ""Call me Ishmael"" is among world literature\'s most famous opening sentences.']], ['Marvel Classics Comics', ['Marvel Classics Comics was an American comics magazine which ran from 1976 until 1978.', ' It specialized in adaptations of literary classics such as ""Moby-Dick"", ""The Three Musketeers"", and ""The Iliad"".', ' It was Marvel Comics\' attempt to pick up the mantle of ""Classics Illustrated"", which stopped publishing in 1971.', ' 36 issues of ""Marvel Classics Comics"" were published, 12 of them being reprints of another publisher\'s work.']]]","What is the sum of the digits of the year the year when Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published?",15,1
"[['Black Belly of the Tarantula', ['The Black Belly of the Tarantula is a 1971 Italian giallo film directed by Paolo Cavara.', ' It is one of many Italian giallo films to be inspired by Dario Argento\'s successful debut thriller ""The Bird with the Crystal Plumage"".', ' The film was shot on location in Rome, Italy in 1970.', ' It starred Giancarlo Giannini, Barbara Bouchet and Barbara Bach.', ' Ennio Morricone did the music score for the film.', ' Though fairly obscure for many years the film has recently made a comeback thanks to the rising fan base for the giallo genre.', ' The film has gained much praise from the horror community, one writer at Horrorview.com cited it as the best giallo ever made.', ' Blue Underground Entertainment released the film on DVD in 2006.']], ['Barbara Bach', ['Barbara Bach (born Barbara Goldbach; August 27, 1947) is an American actress and model who played the Bond girl Anya Amasova in the James Bond film ""The Spy Who Loved Me"" (1977) as well as the spy Maritza Petrović in ""Force 10 from Navarone"" (1978).', ' She married Ringo Starr, former member of the Beatles, in 1981.']]]","How many times does the letter ""o"" appear in the first name of the former member of Beatles married the starring actress of The Black Belly of the Tarantula ?",1,2
"[['Stanley Park, Blackpool', ['Stanley Park is a public park in the town of Blackpool on the Fylde coast in Lancashire, England.', "" It is the town's primary park and covers an area of approximately 104 ha ."", ' The park was designed to include significant sporting provisions, along with formal gardens, a boating lake and woodland area.', ' It was designed and built in the 1920s, under the eye of Thomas Mawson.']], ['Salisbury Woodland Gardens, Blackpool', ['Salisbury Woodland Gardens is an open space located in the east of Blackpool, flanked by East Park Drive and Woodside Drive and linking Blackpool Zoo with Stanley Park.', "" Known simply as the 'Woodland Gardens' to local people, the site was acquired in 1924 by Blackpool Corporation and was originally developed as a shelter belt for the adjacent Stanley Park Golf Course."", ' The gardens were later developed in the 1940s as an arboretum and public open space for all to enjoy.', "" It was renovated in 1967 by Peter Perry and his 'Flying Squad (see below)."", ' Popular once as a wedding photograph location, the site went into decline during the 1990s.', "" The Council's Ranger Service manage and protect the gardens which they took over in September 2006 and have been funding and undertaking the restoration of the woodland.""]]]","How many times does the letter ""s"" appear in the first name of the person who designed and built the park which links Salisbury Woodland Gardens with a zoo?",1,2
"[['Ann Wigmore', ['Ann Wigmore (1909–1994) was a Lithuanian–American ""holistic health"" practitioner and raw food advocate.', ' Wigmore wrote several books on her theories and lectured widely to promote her practices.']], ['Rejuvelac', ['Rejuvelac is kind of grain water invented and promoted by Ann Wigmore.']]]","What the concatenation of the first and last digits of the year of birth of a ""holistic health"" practitioner who invented an promoted Rejuvelac?",19,3
"[['Olivia de Havilland', ['Dame Olivia Mary de Havilland, {\'1\': "", \'2\': "", \'3\': "", \'4\': ""} ( ; born July 1, 1916) is a retired American actress.', ' Her career spanned from 1935 to 1988.', ' She appeared in 49 feature films, and was one of the leading movie stars during the golden age of Classical Hollywood.', ' She is best known for her early screen performances in ""The Adventures of Robin Hood"" (1938) and ""Gone with the Wind"" (1939), and her later award-winning performances in ""To Each His Own"" (1946), ""The Snake Pit"" (1948), and ""The Heiress"" (1949).']], ['Lady in a Cage', ['Lady in a Cage is a 1964 American psychological thriller film directed by Walter Grauman, written and produced by Luther Davis, and released by Paramount Pictures.', ' It stars Olivia de Havilland and features James Caan in his first substantial film role.']]]","What the concatenation of the first and last digits of the birth year of The star of ""Lady in a Cage""?",16,3
"[['Moby-Dick', ['Moby-Dick; or, The Whale is a novel by American writer Herman Melville, published in 1851 during the period of the American Renaissance.', ' Sailor Ishmael tells the story of the obsessive quest of Ahab, captain of the whaler ""Pequod"", for revenge on Moby Dick, the white whale that on the previous whaling voyage bit off Ahab\'s leg at the knee.', "" The novel was a commercial failure and out of print at the time of the author's death in 1891, but during the 20th century, its reputation as a Great American Novel was established."", ' William Faulkner confessed he wished he had written it himself, and D. H. Lawrence called it ""one of the strangest and most wonderful books in the world"", and ""the greatest book of the sea ever written"".', ' ""Call me Ishmael"" is among world literature\'s most famous opening sentences.']], ['Marvel Classics Comics', ['Marvel Classics Comics was an American comics magazine which ran from 1976 until 1978.', ' It specialized in adaptations of literary classics such as ""Moby-Dick"", ""The Three Musketeers"", and ""The Iliad"".', ' It was Marvel Comics\' attempt to pick up the mantle of ""Classics Illustrated"", which stopped publishing in 1971.', ' 36 issues of ""Marvel Classics Comics"" were published, 12 of them being reprints of another publisher\'s work.']]]","What the concatenation of the first and last digits of the year when Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published?",11,3
"[['Cedric the Entertainer', ['Cedric Antonio Kyles (born April 24, 1964), better known by his stage name, Cedric the Entertainer, is an American actor, comedian, director, and game show host.', ' He was originally the host on ""It\'s Showtime at the Apollo"".', ' He also hosted BET\'s ""ComicView"" during the 1993–1994 season and ""Def Comedy Jam"" in 1995.', ' He is best known for co-starring with Steve Harvey on The WB sitcom ""The Steve Harvey Show"" and starring as Eddie Walker in ""Barbershop"".', ' He hosted the twelfth season of daytime version of ""Who Wants to Be a Millionaire"" in the 2013–2014 television season.', ' He also starred in the TV Land original series ""The Soul Man"", which aired its fifth and final season in 2016.']], ['Black Movie Awards', ['The Black Movie Awards (BMAs) is an annual ceremony held to recognize achievements of film actors of African descent and to honor films that stand out in their portrayal of Black experience.', ' Founded in 1997, with an inaugural event at the American Black Film Festival (ABFF), it has been televised several times since 2005, including the 2005 ceremony hosted by Cedric the Entertainer and the 2006 ceremony hosted by Tyler Perry.']]]","What is the result of adding 9 to the reverse of the year when the actor who starred in the TV Land original series ""The Soul Man"" hosted the Black Movie Awards?",5011,2
"[['Jewel Staite', ['Jewel Belair Staite (born June 2, 1982) is a Canadian actress.', ' She is known for her roles as Kaylee Frye in the Fox television series ""Firefly"" (2002–03) and its spin-off theatrical film ""Serenity"" (2005), and as Dr. Jennifer Keller on Sci-Fi Channel\'s science-fiction television series ""Stargate Atlantis"" (2007–09).', ' Staite also starred in her youth as Catalina in ""Space Cases"" (1996) and as ""Becca"" Fisher in ""Flash Forward"" (1996–97), and more recently as Raquel Westbrook in the Canadian drama ""The L.A. Complex"" (2012) and Caroline Swift in AMC\'s crime drama ""The Killing"" (2013–14).']], ['Doomsday Prophecy', ['Doomsday Prophecy is a 2011 sci-fi disaster television film by Jason Bourque starring Jewel Staite, Alan Dale and A.J. Buckley.']]]","What is the result of adding 8 to the reverse of the year when The actress that plays Kaylee Frye in the series ""Firefly"" also stars with Alan Dale in a sci-fi tv film released in?",1110,2
"[['Ann Wigmore', ['Ann Wigmore (1909–1994) was a Lithuanian–American ""holistic health"" practitioner and raw food advocate.', ' Wigmore wrote several books on her theories and lectured widely to promote her practices.']], ['Rejuvelac', ['Rejuvelac is kind of grain water invented and promoted by Ann Wigmore.']]]","What is the result of adding 7 to the reverse of the year of birth of a ""holistic health"" practitioner who invented an promoted Rejuvelac?",9098,2
"[['Bernice Pauahi Bishop', ['Bernice Pauahi Bishop (December 19, 1831 – October 16, 1884), born Bernice Pauahi Pākī, was an ""aliʻ i"" (noble) of the Royal Family of the Kingdom of Hawaii and a well known philanthropist.', "" At her death, her estate was the largest private landownership in the Hawaiian Islands, comprising approximately 9% of Hawaii's total area."", "" The revenues from these lands are used to operate the Kamehameha Schools, which were established in 1887 according to Pauahi's will."", ' Pauahi was married to businessman and philanthropist Charles Reed Bishop.']], ['Kalanipauahi', ['Pauahi (c.1804–1826) was a member of the royal family of the Kingdom of Hawaii in the House of Kamehameha.', ' Referred as Pauahi in her lifetime, she is often referred to as Kalanipauahi or Kalani Pauahi to differentiate her from her niece and namesake Bernice Pauahi Bishop.']]]",How many fewer letters does the last name of Mable Nelson have compared to the first name of the husband of Kalanipauahi's niece?,1,5
"[['Dogwoman', ['Dogwoman is a series of Australian television telemovies screened on the Nine Network in 2000.', "" The telemovies were created by and starred Magda Szubanski as Margaret O'Halloran."", ' Margaret, a professional dog trainer, is drawn into a world of mystery, intrigue, and murder, which lies beneath the surface of dog-owners.', "" Tara Morice played her sister Pauline O'Halloran and Raj Ryan played her boyfriend Brian Jayasinghe.""]], ['Magda Szubanski', ['Magdalene Mary ""Magda"" Szubanski (born 12 April 1961) is an Australian television and film actress, comedian and writer.']]]",What is the result of multiplying 4 by the reverse of the year of birth of the actress who created The Dogwoman telemovies?,6764,2
"[['Richard Ford', ['Richard Ford (born February 16, 1944) is an American novelist and short story writer.', ' His best-known works are the novel ""The Sportswriter"" and its sequels, ""Independence Day"", ""The Lay of the Land"" and ""Let Me Be Frank With You"", and the short story collection ""Rock Springs"", which contains several widely anthologized stories.']], ['Rock Springs (short story collection)', ['Rock Springs is a collection of short stories by author Richard Ford, published in 1987 and largely dealing with dysfunctional mothers and fathers and their effects on young male narrators.']]]",What is the result of multiplying 8 by the reverse of the year of birth of the author whose short stories is collected in Rock Springs?,35928,2
"[['Georgia International Convention Center', ['The Georgia International Convention Center or GICC, opened in April 2009, is the second largest convention center in the U.S. state of Georgia, second only to the Georgia World Congress Center.', ' It is located at 2000 Convention Center Concourse, just off Camp Creek Parkway (S.R. 6) and Roosevelt Highway (U.S. 29) in College Park.', ' The Convention Center is accessible from the Airport MARTA station (via a connection to the ATL Skytrain), Interstate 285, and Interstate 85.']], ['Georgia World Congress Center', ['The Georgia World Congress Center (GWCC) is a convention center in Atlanta, Georgia, USA.', ' Enclosing some 3.9 million ft (360,000 m) in exhibition space and hosting more than a million visitors each year, the GWCC is the third-largest convention center in the United States.', ' Opened in 1976, the GWCC was the first state-owned convention center established in the United States.', ' The center is operated on behalf of the state by the Georgia World Congress Center Authority, which was chartered in 1971 by Georgia General Assembly to develop an international trade and exhibition center in Atlanta.', ' The authority later developed the Georgia Dome, Centennial Olympic Park, and Mercedes-Benz Stadium, which replaced the Georgia Dome.', ' The Georgia Dome was closed on March 5, 2017 and is scheduled for implosion on November 20, 2017 while Mercedes-Benz Stadium officially opened on August 26, 2017.', "" While the GWCCA owns Mercedes-Benz Stadium, AMB Group, the parent organization for the National Football League's Atlanta Falcons and Major League Soccer's Atlanta United FC, is responsible for the stadium's operations.""]]]",What is the year 9 years before the year when the largest convention center in the U.S. state of Georgia opened?,1967,1
"[['Brittany Snow', ['Brittany Anne Snow (born March 9, 1986) is an American actress, producer, and singer.']], ['Streak (film)', ['Streak is a 2008 American coming-of-age short film directed by Demi Moore, written by Kelly Fremon and Allan Loeb, and starring Brittany Snow and Rumer Willis.', "" The film was actress Demi Moore's first film as a director."", ' The plot focuses on a young woman stuck in a life she no longer wants with gym-rat friends and obsessive behavior.', ' To break free, she reaches for fun in an interesting form of expression.']]]","What is the year 7 years before the year of birth of the actress who was starred in ""Streak"" with Rumer Willis?",1979,1
